file,time,word,phoneme,automatic_ipa,F1,F2,F3,syllable_position,syllable,initial_syllable
Bulat,82.42465511505745,сөенечле,е,e,322.0214934074722,2150.910515263928,2536.6255461625738,2,өе,outside initial syllable
Bulat,82.54260807985739,сөенечле,е,e,469.31252503656754,1852.3519037279398,2525.064137887357,3,неч,outside initial syllable
Bulat,82.8423601096701,сөенечле,е,e,448.0090855849238,1630.2192730602405,2542.397524854171,4,ле,final syllable
Bulat,84.00750475334019,заманнарда,а,ɒ,612.1804850041117,1277.7718652960953,2722.073315576478,1,за,initial syllable
Bulat,84.14090339157245,заманнарда,а,ɒ,628.8994260429147,1191.2976616573214,2250.9306461470637,2,ман,outside initial syllable
Bulat,84.329029676259,заманнарда,а,ɑ,699.2605477539818,1402.8639255586756,2519.401930205172,3,нар,outside initial syllable
Bulat,84.56390249229189,заманнарда,а,ɑ,699.0887255264801,1454.9379332751985,2752.908595930864,4,да,final syllable
Bulat,85.7325881294964,тәнемә,ә,æ,582.9496534207897,1655.3654090746766,2574.01360454215,1,тә,initial syllable
Bulat,85.85339028776978,тәнемә,е,e,448.65026784426215,1709.0669065275094,2532.704010157581,2,не,outside initial syllable
Bulat,86.06361742034944,тәнемә,ә,æ,647.516817494288,1679.2933205690792,2654.740586636004,3,мә,final syllable
Bulat,87.83357399794451,ишарәлиләр,и,i,313.5779915594033,2147.2783422772477,2568.8289923754487,1,и,initial syllable
Bulat,88.02542398734073,ишарәлиләр,а,ɑ,509.4818870584642,1644.4625046278982,2518.9262668974093,2,ша,outside initial syllable
Bulat,88.14954962968399,ишарәлиләр,ә,æ,546.6258528222007,1667.4893850493818,2559.457311684293,3,рә,outside initial syllable
Bulat,88.32658800102773,ишарәлиләр,и,i,320.55924118418113,2230.5314601690347,2699.766747960733,4,ли,outside initial syllable
Bulat,88.51838103802672,ишарәлиләр,ә,æ,601.0616526521483,1742.4552956695886,2598.672706803488,5,ләр,final syllable
Bulat,90.16625538548752,кесәсеннән,е,e,313.4389138139694,1684.2353433805758,2414.067587844325,1,ке,initial syllable
Bulat,90.3173871882086,кесәсеннән,ә,æ,466.62462468024,1587.3440534449744,2551.0981456741365,2,сә,outside initial syllable
Bulat,90.45875538548754,кесәсеннән,е,e,1585.564678454388,2646.383082012221,3878.3346208191633,3,сен,outside initial syllable
Bulat,90.7219081367559,кесәсеннән,ә,æ,666.5321172345266,1674.0222360988118,2660.3141276989763,4,нән,final syllable
Bulat,92.06479213771841,керешкәнче,е,e,418.9141358834658,1537.3023865243897,2320.0215023605992,1,ке,initial syllable
Bulat,92.14157502569374,керешкәнче,е,e,349.0679343411911,1622.393458039763,2371.344342068397,2,реш,outside initial syllable
Bulat,92.37184338243692,керешкәнче,ә,æ,556.8736466454541,1834.9707903359035,2569.2281596581515,3,кән,outside initial syllable
Bulat,92.7124391058582,керешкәнче,е,e,453.10595425130515,1681.2873747435751,2519.929278890621,4,че,final syllable
Bulat,93.7986342721741,төшендең,ө,œ,357.76566992105865,1626.54989703231,2509.7386030788857,1,тө,initial syllable
Bulat,93.95852522675736,төшендең,е,e,351.5388227317218,1602.0529590836331,2520.4178436697794,2,шен,outside initial syllable
Bulat,94.22139003083248,төшендең,е,e,477.7434357468454,1748.4847516085415,2449.6789773807805,3,дең,final syllable
Bulat,95.41944039054472,догасыннан,о,o,471.3207764905488,1148.2179687419648,2415.7447838949433,1,до,initial syllable
Bulat,95.55207284172664,догасыннан,а,ɑ,607.5000883101343,1209.1828687340455,2471.0904903336327,2,га,outside initial syllable
Bulat,95.76476271839672,догасыннан,ы,ɯ,340.2664251279823,1581.8512666839301,2570.5835520584837,3,сын,outside initial syllable
Bulat,95.98581680369992,догасыннан,а,ɑ,683.3605931987183,1423.5367754041565,2457.0709176027967,4,нан,final syllable
Bulat,97.1778376156218,куыкның,у,u,402.0782782971445,908.7105002492959,2483.4281122487005,1,к,initial syllable
Bulat,97.24424049331965,куыкның,ы,ɯ,449.78695053156036,1017.9682192241846,2482.882591766797,2,уык,outside initial syllable
Bulat,97.5582312435766,куыкның,ы,ɯ,552.7789951432004,1354.3573881163913,2383.204240155378,3,ның,final syllable
Bulat,100.06742353272855,бишегеңдә,и,i,296.43689979493683,2082.6804818626124,2705.2489112685003,1,би,initial syllable
Bulat,100.22008245396552,бишегеңдә,е,e,415.47385300427806,1765.8608408225011,2330.467086651143,2,ше,outside initial syllable
Bulat,100.33983408004364,бишегеңдә,е,e,767.3364847554042,2016.1072038809784,2419.0078502862993,3,гең,outside initial syllable
Bulat,100.6757507296546,бишегеңдә,ә,æ,678.4407756749955,1724.8378613576062,2584.805595737746,4,дә,final syllable
Bulat,101.90221492805756,диюенә,и,i,275.4937020083669,2216.0146219103035,2982.5207155107,1,д,initial syllable
Bulat,102.06937140287769,диюенә,ү,y,328.96359919376,1062.7401920232553,2382.42631464966,,,
Bulat,102.14100989208632,диюенә,е,e,464.11146775229867,1535.994200236513,2323.533172399237,2,июе,outside initial syllable
Bulat,102.39608633093523,диюенә,ә,æ,673.5594330138703,1709.574054325672,2722.489631983688,3,нә,final syllable
Bulat,103.50152440904421,гәүдәсен,ә,æ,482.86515904046723,1394.5977527140594,2159.975590756843,1,гәү,initial syllable
Bulat,103.67571338643371,гәүдәсен,ә,æ,523.8323319289473,1665.7988272804496,2574.9838145776466,2,дә,outside initial syllable
Bulat,103.92926657245633,гәүдәсен,е,e,511.9363964874604,1689.3817865155027,2648.210722920808,3,сен,final syllable
Bulat,105.69324186742634,колагыгыз,о,o,517.831506592511,974.7789970024504,2584.753723601627,1,ко,initial syllable
Bulat,105.82289571291858,колагыгыз,а,ɑ,611.0388599768725,1140.3575183744636,2569.713640295361,2,ла,outside initial syllable
Bulat,105.98850398615244,колагыгыз,ы,ɯ,526.1554461944065,1189.833747929683,2355.9536993355473,3,гы,outside initial syllable
Bulat,106.16609706863345,колагыгыз,ы,ɯ,523.4389895314123,1382.8363503801943,2578.2269033150237,4,гыз,final syllable
Bulat,107.27329868961974,йөзенә,ө,œ,326.61946921962624,1945.2000567505343,2558.2418534658404,1,йө,initial syllable
Bulat,107.44616508221995,йөзенә,е,e,407.9352887720227,1559.7859462221663,2204.4882484964874,2,зе,outside initial syllable
Bulat,107.64063977389515,йөзенә,ә,æ,699.6430162594729,1682.3115217075863,2688.176905673088,3,нә,final syllable
Bulat,108.87730687830687,нәрсәседер,ә,æ,592.2454039901631,1697.6979169769945,2553.611647661821,1,нәр,initial syllable
Bulat,109.13365056526207,нәрсәседер,ә,æ,484.2657915266751,1558.8657155859037,2479.452771834278,2,сә,outside initial syllable
Bulat,109.309654676259,нәрсәседер,е,e,431.1808365207245,1503.4516909789593,2550.146871953859,3,се,outside initial syllable
Bulat,109.45855925871548,нәрсәседер,е,e,448.7765388960169,1551.5897471367623,2495.111263743346,4,дер,final syllable
Bulat,111.29233138330387,бармакларында,а,ɒ,567.8538614876065,1118.2074584752636,2382.555030942693,1,бар,initial syllable
Bulat,111.46985487028948,бармакларында,а,ɒ,661.7705411151395,1195.8196774303947,2547.915668113847,2,мак,outside initial syllable
Bulat,111.69918200864828,бармакларында,а,ɑ,613.5220644393245,1328.4191800967474,2466.482761488925,3,ла,outside initial syllable
Bulat,111.79049353484287,бармакларында,ы,ɯ,537.1886934045751,1402.7087200056876,2515.04552027332,4,рын,outside initial syllable
Bulat,112.09349271745808,бармакларында,а,ɑ,669.3799767149015,1428.9870302047727,2666.00284092415,5,да,final syllable
Bulat,112.83525833961895,бушатуы,у,u,411.73587188127095,905.803999481114,2493.1977903925754,1,бу,initial syllable
Bulat,113.02033300258348,бушатуы,а,ɑ,611.0813376739926,1289.9618487018165,2490.822132854972,2,ша,outside initial syllable
Bulat,113.24184723649441,бушатуы,у,u,427.1653008591442,719.7157514746747,2512.9454716924674,3,т,outside initial syllable
